[16-Mar-2010 17:35:58] PHP Fatal error:  require_once() [<a href='function.require'>function.require</a>]: Failed opening required 'Zend/Service/Abstract.php' (include_path='.:/usr/lib/php:/home/ironikop/public_html/pictorial/sites/literature.ironikopoulou.gr/modules/zend/library') in /home/ironikop/public_html/pictorial/sites/literature.ironikopoulou.gr/modules/zend/library/Zend/Rest/Client.php on line 25
[16-Mar-2010 17:45:04] PHP Fatal error:  require_once() [<a href='function.require'>function.require</a>]: Failed opening required 'Zend/Service/Abstract.php' (include_path='.:/usr/lib/php:/home/ironikop/public_html/pictorial/sites/literature.ironikopoulou.gr/modules/zend/library') in /home/ironikop/public_html/pictorial/sites/literature.ironikopoulou.gr/modules/zend/library/Zend/Rest/Client.php on line 25
[16-Mar-2010 17:49:59] PHP Fatal error:  require_once() [<a href='function.require'>function.require</a>]: Failed opening required 'Zend/Http/Client.php' (include_path='.:/usr/lib/php:/home/ironikop/public_html/pictorial/sites/literature.ironikopoulou.gr/modules/zend/library') in /home/ironikop/public_html/pictorial/sites/literature.ironikopoulou.gr/modules/zend/library/Zend/Service/Abstract.php on line 26
[26-Feb-2011 17:25:47] PHP Fatal error:  Call to a member function options_validate() on a non-object in /home/ironikop/public_html/pictorial/sites/all/modules/views/includes/admin.inc on line 2350
[13-Mar-2011 23:51:07] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 28848617 bytes) in /home/ironikop/public_html/pictorial/includes/form.inc on line 1417
[13-Mar-2011 23:51:41] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 28848673 bytes) in /home/ironikop/public_html/pictorial/includes/form.inc on line 1417
[14-Mar-2011 23:21:18] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 48005147 bytes) in /home/ironikop/public_html/pictorial/includes/theme.inc on line 1021
[15-Mar-2011 23:36:33] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 26392313 bytes) in /home/ironikop/public_html/pictorial/includes/form.inc on line 1417
[15-Mar-2011 23:41:27] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 28739063 bytes) in /home/ironikop/public_html/pictorial/includes/form.inc on line 1417
[15-Mar-2011 23:41:48] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 28739035 bytes) in /home/ironikop/public_html/pictorial/includes/form.inc on line 1417
[02-May-2011 21:28:38] PHP Fatal error:  Out of memory (allocated 13107200) (tried to allocate 7680 bytes) in /home/ironikop/public_html/pictorial/sites/all/modules/imce/imce.module on line 91
[02-May-2011 21:28:38] PHP Fatal error:  Out of memory (allocated 15204352) (tried to allocate 30720 bytes) in /home/ironikop/public_html/pictorial/sites/all/modules/wysiwyg/wysiwyg.module on line 157
[02-May-2011 21:52:07] PHP Fatal error:  Out of memory (allocated 6291456) (tried to allocate 30720 bytes) in /home/ironikop/public_html/pictorial/modules/menu/menu.module on line 96
[02-May-2011 22:21:08] PHP Fatal error:  Out of memory (allocated 12582912) (tried to allocate 122880 bytes) in /home/ironikop/public_html/pictorial/sites/all/modules/imageapi/imageapi_gd.module on line 386
[02-May-2011 22:34:59] PHP Fatal error:  Out of memory (allocated 2097152) (tried to allocate 7680 bytes) in /home/ironikop/public_html/pictorial/includes/common.inc on line 3664
[03-May-2011 07:46:09] PHP Fatal error:  Out of memory (allocated 5767168) (tried to allocate 122880 bytes) in /home/ironikop/public_html/pictorial/modules/filter/filter.module on line 215
[03-May-2011 07:49:51] PHP Fatal error:  Out of memory (allocated 20447232) (tried to allocate 556 bytes) in /home/ironikop/public_html/pictorial/sites/all/modules/imageapi/imageapi_gd.module on line 243
